Observation Name,Name,ISRO Observed,X-ray type,RA (h),RA (min),RA (sec),DE (deg),DE (arcmin),DE (arcsec),Galactic Longitude (deg),Galactic Lattitude (deg),Observation Type,Position Accuracy (arcsec),V (mag),B - V (mag),U - B (mag),E(B - V) (mag),Average Flux (mag),Range,Orbital Period (d),Pulse Period (s),Spectral Type,Other Name 1,Other Name 2,Title 1,URL 1,Title 2,URL 2
,J0032.9-7348,FALSE,,0,32,56.1,-73,48,19,304.7,-43.2,x,12.9,15.3,,,,0.2,,,,Be,,,,,,
,J0049-732,FALSE,P,0,49,29.6,-73,10,56,303.1,-43.9,x,5.5,,,,,0.04,,,9.1321,,,,,,,
,J0049-729,FALSE,TP,0,49,2.5,-72,50,52,303.2,-44.3,x,13.7,,,,,0.5 - 9,,,74.676,Be,J0049.1-7250,,,,,
,0050-727,FALSE,T,0,52,6.1,-72,26,6,302.9,-44.7,o,3,14,-0.3,-1,0.03,1 - 5,,,,O9 III-Ve,SMC X-3,,,,,
,J0050.7-7316,FALSE,P,0,50,44.7,-73,16,5,303,-43.8,o,1,15.44,-0.03,-0.95,,0.16,(0.7-10 keV),1.416,323,Be,J0051-733,,,,,
,J0051-722,FALSE,TP,0,50,55.8,-72,13,55,303,-44.9,x,10,14.9,,,,2.6,,120,91.1,Be,,,,,,
,J0051.8-7231,FALSE,TP,0,51,53,-72,31,45,302.9,-44.6,x,11,,,,,0.01 - 9,,,8.9,Be,2E0050.1-7247,",",,,,
,J0051.9-7311,FALSE,T,0,51,51.4,-73,10,38,302.9,-43.9,x,,14.4,,,,,,,,B[e,SMC 25,,,,,
,J0052.1-7319,FALSE,TP,0,52,13.9,-73,19,13,302.8,-43.8,x,1.9,14.667,-0.005,,,0.024 - 4.7,,,15.3,Be,,,,,,
,J0052.9-7158,FALSE,TU,0,52,54,-71,58,8,302.8,-45.1,x,,15.46,-0.07,-0.99,,2,(0.15-2.4 keV),,,Be,SMC 32,,,,,
SMC X-2  ,0053-739,TRUE,T,0,54,33.4,-73,41,4,302.6,-43.4,o,,16,-0.3,-0.5,0.03,1-7,,,,B1.5Ve,SMC X-2,,,,,
,0053+604,FALSE,,0,56,42.3,+60,43,0,123.6,-2.1,o,,1.6 - 3.0,-0.15,-1.08,0.05,5 - 11,,,,B0.5Ve,,,,,,
,J0053.8-7226,FALSE,TP,0,53,55,-72,26,47,302.7,-44.7,x,10,,,,,1.4,,139,46.63,B1V,0053-724,,,,,
,J0054-720,FALSE,TP,0,54,36,-72,4,0,302.6,-45,x,10,,,,,3.8,,,169.3,,,,,,,
,J0055-724,FALSE,TP,0,54,56.17,-72,26,27.6,302.6,-44.7,x,0.1,15.28,-0.04,-0.78,0.06,1,,65,58.969,B0-B1III-V,J0054.9-7226,,,,,
,J0058-72.0,FALSE,P,0,57,48.4,-72,2,42,302.2,-45,x,7.9,,,,,0.1,(0.7-10 keV),,280.4,J0058-7203,,,,,,
,J0058.2-7231,FALSE,,0,58,12.7,-72,30,45,302.2,-44.6,x,,15,,,,,,,,Be,,,,,,
,J0059.2-7138,FALSE,TUP,0,59,11.3,-71,38,45,302.1,-45.4,x,2.8,14.1,0.11,,0.03,3,(0.2-2 keV),,2.7632,B1IIIe,,,,,,
,J0101.0-7206,FALSE,T,1,1,1.1,-72,6,57,301.9,-45,x,2.8,,,,,0.1,,,,Be,,,,,,
,J0103-722,FALSE,P,1,3,13.9,-72,9,14,301.6,-44.9,o,0.1,14.8,0.089,,0.23,0.01 - 0.1,(0.2-2 keV),,345.2,O9-B1(III-V),J0103.2-7209,,,,,
,0103-762,FALSE,T,1,9,6.1,-74,44,40,301.9,-41.1,o,,17,,,0.03,2.3,,,,Be,0107-750,,,,,
,J0105-722,FALSE,TP,1,5,8.9,-72,11,44,301.4,-44.9,x,6.6,,,,,0.1,,,3.343,J0105.1-7211,,,,,,
,J0106.2-7205,FALSE,,1,6,15.1,-72,5,25,301.3,-45,x,15,16.7,,,0.05,0.005,(0.2-2 keV),,,B2-B5 III-Ve,,,,,,
,J0111.2-7317,FALSE,TP,1,11,8.4,-73,16,46,301,-43.7,o,1,15.32,0.08,,,15,,,31.0294,B0-2III-Ve,,,,,,
,0114+650,FALSE,P,1,18,2.8,+65,17,19,125.7,+2.6,o,3,11,1.2,0.1,1.4,4,,11.6,10008,B0.5Ib,,",LS I+65 010",,,,
,0115+634,FALSE,TP,1,18,31.9,+63,44,24,125.9,+1.0,o,,14.5 - 16.3,1.4,0.3,1.7,2 - 350,,24.3,3.61,B0.2V,,,,,,
,0115-737,FALSE,P,1,17,5.2,-73,26,35,300.4,-43.6,o,3,13.3,-0.14,-0.98,0.03,0.5 - 57,,3.89,0.71,B0Ib,SMC X-1,,,,,
,J0117.6-7330,FALSE,TP,1,17,41.4,-73,30,49,300.4,-43.5,x,0.6,14.19,-0.07,,0.03,10,,,22.07,B0.5IIIe,,,,,,
,J0146.9+6121,FALSE,,1,43,32.6,+61,6,26,129.2,-1.2,o,2,11.33,0.82,-0.39,0.87,1 - 3,(0.1-2.4 keV),,1404.2,B1Ve,,,,,,
,0236+610,FALSE,,2,40,31.6,+61,13,45,135.7,+1.1,"o,r",,10.7,0.8,-0.3,0.75,0.2,(0.2-5 keV),26.45,,B0e,,",V615 Cas",,,,
,0331+530,FALSE,TP,3,34,59.9,+53,10,23,146.1,-2.2,o,,15.1 - 15.4,1.6 - 2.3,,1.9,0.5 - 1250,,34.25,4.4,O8.5Ve,,,,,,
,0352+309,FALSE,P,3,55,23,+31,2,45,163.1,-17.1,o,,6.0 - 6.6,0.29,-0.82,0.4,9 - 37,,580,835,B0III-Ve,,,,,,
,J0421+560,FALSE,T,4,19,46,55,59,24,149.2,+4.1,x,50,9.25,1,-0.4,0.8,2000,,,,--,,,,,,
,J0440.9+4431,FALSE,P,4,40,59.9,44,31,51,159.8,-1.3,x,17,10.78,0.61,-0.36,,1,,,202.5,B0V-IIIe,,,,,,
,J0501.6-7034,FALSE,,5,1,23.9,-70,33,33,281.9,-34.5,x,2.9,14.5,-0.07,,,,,,,B0e,CAL 9,,,,,
,J0502.9-6626,FALSE,TP,5,2,51.6,-66,26,25,277,-35.4,x,1.2,14.22,-0.1,,,5.7,,,4.0635,B0e,CAL E,,,,,
,J0512.6-6717,FALSE,,5,12,41.8,-67,17,23,277.8,-34.3,x,40,,,,,,,,,,,,,,,
,J0516.0-6916,FALSE,T,5,16,0.1,-69,16,9,280.1,-33.6,x,7.3,15,-0.1,-0.9,,0.07,,,,B1e,,,,,,
