Observation Name,Name,ISRO Observed,X-ray type,RA (h),RA (min),RA (sec),DE (deg),DE (arcmin),DE (arcsec),Galactic Longitude (deg),Galactic Lattitude (deg),Observation Type,Position Accuracy (arcsec),V (mag),B - V (mag),U - B (mag),Average Flux (mag),Range,Orbital Period (d),Pulse Period (s),Title 1,URL 1,Title 2,URL 2,Title 3,URL 3
,0042+323,FALSE,T,0,44,50.4,+33,1,17,121.3,-29.8,x,60,19.3,,,0.5-55,,,,,,,,,
,J0422+32,FALSE,T,4,18,29.9,+32,47,24,197.3,-11.9,"o,r",,13.2,,,3000,(20-300keV),5.1,,,,,,,
,0512-401,FALSE,GB,5,14,6.6,-40,2,37,244.5,-35,x,2,,,,3-6,,,,,,,,,
LMC X-2  ,0521-720,TRUE,Z?,5,20,29.2,-71,57,36,283.1,-32.7,o,3,18 - 19,,,9-44,,8.16,,AstroSat view of LMC X-2: evolution of broad-band X-ray spectral properties along a complete Z-track,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.3726A,,,,
,J0532.7-6926,FALSE,,5,32,42.8,-69,26,18,279.9,-32.1,x,3.9,,,,0.5,,,,,,,,,
,0614+091,FALSE,AB,6,17,7.3,+09,8,13,200.9,-3.4,o,,18.5,,,50,,,,,,,,,
,0620-003,FALSE,TU,6,22,44.5,0,20,45,210,-6.5,o,,11.2,,,0.02-50000,,7.75,,,,,,,
,0656-072,FALSE,T,6,58,27,-7,15,50,220.2,-1.7,x,180,,,,20-80,,,,,,,,,
,0748-676,FALSE,TBD,7,48,33.8,-67,45,9,280,-19.3,o,,16.9 -17.5,,,0.1-60,,3.82,,,,,,,
,J0835.9+5118,FALSE,TB,8,35,56,+51,18,36,167.5,+36.9,x,180,,,,6,,,,,,,,,
,0836-429,FALSE,TB,8,37,23,-42,53,9,261.9,-1.1,x,60,,,,1-55,,,,,,,,,
,0918-549,FALSE,,9,20,26.8,-55,12,24,275.9,-3.8,x,5,21,,,10,,,,,,,,,
,0921-630,FALSE,D,9,22,34.7,-63,17,42,281.8,-9.3,o,,15.3,,,3,,216.2,,,,,,,
,1009-45,FALSE,TU,10,13,36,-45,4,35,275.4,+9.4,o,,14.71,,,800,(1-10keV),,,,,,,,
,J1118+480,FALSE,TA?,11,18,10.85,+48,2,12.9,157.6,+62.3,o,0.2,12.25 - 18.8,,,40,(2-12keV),4.1,,,,,,,
,1124-684,FALSE,TU,11,26,26.7,-68,40,33,295,-6.1,o,,13.6,,,4-3000,,10.4,,,,,,,
,1254-690,FALSE,BD,12,57,37.2,-69,17,21,303.5,-6.4,o,,19.1,,,25,,3.93,,,,,,,
,1323-619,FALSE,BD,13,26,36.1,-62,8,10,307.1,+0.2,x,3,,,,7,,2.93,,,,,,,
,1354-645,FALSE,TU,13,58,9.7,-64,44,5,310,-2.8,o,,16.9,,,5-120,,,,,,,,,
,1455-314,FALSE,TB,14,58,22,-31,40,8,332.2,+23.9,o,,12.8,,,0.1-20000,,15.1,,,,,,,
,1516-569,FALSE,TBA,15,20,40.9,-57,10,1,322.1,+0.0,r,,21.4,,,5-3000,,398.4,,,,,,,
,1524-617,FALSE,TU,15,28,17.2,-61,52,58,320.3,-4.4,o,3,17.5,,,5-950,,,,,,,,,
,1543-475,FALSE,TU,15,47,8.6,-47,40,10,330.9,+54.,o,,14.9,,,1-15000,,26.95,,,,,,,
,1543-624,FALSE,,15,47,54.8,-62,34,5,321.8,-6.3,o,,,,,35,,,,,,,,,
,J1550-564,FALSE,T,15,50,58.78,-56,28,35,325.9,-1.8,o,2,16.6 - 21.4,,,600-7000,,36.96,,,,,,,
,1556-605,FALSE,,16,1,2.3,-60,44,17,324.1,-5.9,o,,18.6-19.2,0.45,-0.7,16,,9.1,,,,,,,
,1603.6+2600,FALSE,,16,5,45.8,+25,51,45,42.8,+46.8,o,,19.7,,,0.15,(0.3-3.2keV),1.85,,,,,,,
,J1603.9-7753,FALSE,TB,16,3,54,-77,53,6,312.4,-18.7,x,180,,,,160,,,,,,,,,
4U 1608-52  ,1608-522,TRUE,TBA,16,12,43,-52,25,23,330.9,-0.9,o,,18.2,,,1-110,,,,,,,,,
,1617-155,FALSE,Z,16,19,55.1,-15,38,25,359.1,+23.8,o,,12.2,0.2,-0.8,14000,,18.9,,,,,,,
,1624-490,FALSE,D,16,28,2.4,-49,11,25,334.9,-0.3,x,12,,,,55,,21,,,,,,,
,1627-673,FALSE,P,16,32,16.8,-67,27,43,321.8,-13.1,o,,18.5,0.1,-1.2,25,,0.69,7.7,,,,,,
4u1630-472,1630-472,TRUE,TUD,16,34,0.4,-47,23,39,336.9,+0.3,x,10,,,,2-1400,,,,AstroSat and MAXI view of the black hole binary 4U 1630-472 during 2016 and 2018 outbursts,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.1197B,,,,
,1632-477,FALSE,,16,36,28,-47,49,37,336.9,-0.4,x,66,,,,13,,,,,,,,,
,1636-536,FALSE,BA,16,40,55.5,-53,45,5,332.9,-4.8,o,,17.5,0.7,-0.7,220,,3.8,,,,,,,
GX 340+0        ,1642-455,TRUE,Z,16,45,47.7,-45,36,40,339.6,-0.1,r,,,,,500,,,,,,,,,
,J1655-40,FALSE,TD,16,54,0.137,-39,50,44.9,345,+2.5,o,,14.2 - 17.3,1,,1600,(2-12keV),62.88,,,,,,,
Her X-1,1656+354,TRUE,P,16,57,49.8,+35,20,33,58.2,+37.5,o,,13.0-14.6,-0.2,-0.9,15-50,,40.8,1.24,Time evolution of cyclotron line of Her X-1: a detailed statistical analysis including new AstroSat data,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.1029B,AstroSat UVIT Observations of Her X-1,https://ui.adsabs.harvard.edu/abs/2020ApJ...889..131L,AstroSat SXT Observations of Her X-1,https://ui.adsabs.harvard.edu/abs/2019ApJ...871..152L
,1658-298,FALSE,TBD,17,2,6.3,-29,56,45,353.8,+7.3,o,,18.3,0.45,-0.4,5-80,,7.11,,,,,,,
,1659-487,FALSE,TU,17,2,49.5,-48,47,23,338.9,-4.3,o,,15.5,0.8,-0.1,1.5-900,,14.83,,,,,,,
GX 349+2  ,1702-363,TRUE,Z,17,5,44.5,-36,25,22,349.1,+2.7,r,,18.6,1.5,,825,,21.85 - 22.5,,,,,,,
4U 1702-429,1702-429,TRUE,BA,17,6,15.3,-43,2,10,343.9,-1.3,x,5,,,,45,,,,,,,,,
,1704+240,FALSE,,17,6,34.6,+23,58,18,45.2,+33.0,o,,7.8,1.3,2.1,0.5-11,,,,,,,,,
,1705-250,FALSE,T,17,8,14.6,-25,5,29,358.2,+9.1,o,2,15.9,0.6,,2-3600,,12.5,,,,,,,
4U 1705-44,1705-440,TRUE,BA,17,8,54.7,-44,6,2,343.8,-2.3,x,13,,,,10-280,,,,,,,,,
,1708-408,FALSE,,17,12,23,-40,50,36,346.3,-0.9,x,60,,,,32,,,,,,,,,
,J1709-267,FALSE,TB,17,9,30.2,-26,39,27,357.5,+7.9,x,120,,,,150,,,,,,,,,
,J1710-281,FALSE,TB(?),17,10,12.3,-28,7,54,356.4,+6.9,x,,,,,2,,,,,,,,,
,1711-339,FALSE,T,17,14,19.2,-34,2,58,352.1,+2.7,x,40,,,,16-130,,,,,,,,,
,J1712.6-3739,FALSE,TB,17,12,34,-37,38,36,348.9,+0.94,x,180,,,,34,(2-9keV),,,,,,,,
,1715-321,FALSE,B,17,18,47.4,-32,10,40,354.1,+3.1,x,23,,,,28,,,,,,,,,
,1716-249,FALSE,T,17,19,36.9,-25,1,3,359.8,+7.6,r,0.5,16.65-21,0.9,,1500,(20-100keV),14.7,,,,,,,
,J171824.2-402934,FALSE,B,17,18,24.13,-40,29,30.4,347.3,-1.6,x,15.7,,,,1400,,,,,,,,,
,J1723-376,FALSE,TB,17,23,38,-37,39,42,350.2,-0.86,x,30,,,,70,,,,,,,,,
,1724-356,FALSE,,17,27,39,-35,44,4,352.2,-0.5,x,78,,,,32,,,,,,,,,
